,R_fighter,B_fighter,date,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,R_Stance_nan,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,B_Stance_nan,Winner_Blue,Winner_Draw,Winner_Red
395,Dustin Poirier,Dan Hooker,2020-06-27,1057.19873046875,32,0,1,0,4,10,4,0,0,1,1,6,2,0,182.88,190.5,155.0,904.474482536316,53,2,4,0,4,17,6,0,1,0,5,8,3,0,175.26,182.88,155.0,30.0,31.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
402,Clay Guida,Bobby Green,2020-06-20,887.9521484375,29,0,4,0,4,5,6,0,0,1,2,1,1,0,177.8,180.34,155.0,323.7547257691622,71,0,1,0,4,15,13,0,0,3,6,2,4,0,170.18,177.8,155.0,33.0,38.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
417,Charles Rosa,Kevin Aguilar,2020-06-13,550.5,10,0,2,0,2,2,2,0,0,0,2,0,0,0,170.18,185.42,155.0,693.609375,19,0,0,1,1,3,4,0,0,0,1,0,2,0,175.26,175.26,145.0,31.0,33.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
440,Roosevelt Roberts,Brok Weaver,2020-05-30,242.0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,182.88,185.42,155.0,823.75,10,0,2,0,2,3,1,0,0,0,2,0,1,0,187.96,185.42,155.0,28.0,26.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
458,Gabriel Benitez,Omar Morales,2020-05-13,900.0,3,0,1,0,1,1,0,0,0,0,1,0,0,0,180.34,185.42,145.0,332.34375,17,0,2,0,2,5,3,0,0,0,2,1,2,0,172.72,180.34,155.0,34.0,31.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
461,Michael Johnson,Thiago Moises,2020-05-13,900.0,9,0,0,1,1,1,2,0,0,0,1,0,0,0,175.26,177.8,155.0,864.9305219650269,56,1,0,1,4,11,11,0,0,1,6,4,0,0,177.8,185.42,155.0,25.0,33.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
462,Alexander Hernandez,Drew Dober,2020-05-13,218.04638671875,27,0,0,2,3,8,6,0,0,0,3,4,1,0,172.72,177.8,155.0,698.5,9,0,2,0,2,3,1,0,0,0,2,1,0,0,175.26,182.88,155.0,31.0,27.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
470,Tony Ferguson,Justin Gaethje,2020-05-09,280.28125,12,0,1,0,3,4,2,0,0,0,0,4,0,0,180.34,177.8,155.0,680.1625366210938,35,2,3,0,12,15,1,0,0,1,3,3,6,2,180.34,193.04,155.0,31.0,36.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
479,Renato Moicano,Damir Hadzovic,2020-03-14,750.46875,15,0,0,1,2,3,3,0,0,1,0,2,0,0,175.26,177.8,155.0,252.546875,18,0,3,0,3,5,3,0,0,2,1,0,2,0,180.34,182.88,155.0,33.0,30.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
483,Kevin Lee,Charles Oliveira,2020-03-14,224.33487272262573,45,0,2,0,6,16,9,0,0,0,1,2,13,0,177.8,187.96,155.0,674.8125,41,1,0,1,5,11,5,0,0,1,3,2,4,1,175.26,195.58,170.0,30.0,27.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
484,Francisco Trinaldo,John Makdessi,2020-03-14,844.3488464355469,39,0,2,0,3,10,6,0,0,1,6,3,0,0,172.72,172.72,155.0,847.9301700592041,50,0,1,0,7,14,6,0,0,1,7,3,2,1,175.26,177.8,155.0,34.0,41.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
489,Beneil Dariush,Drakkar Klose,2020-03-07,900.0,18,0,2,0,3,5,1,0,0,1,4,0,0,0,175.26,177.8,155.0,367.9031066894531,33,0,1,0,5,11,5,0,0,1,4,1,5,0,177.8,182.88,155.0,31.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
495,Mark Madsen,Austin Hubbard,2020-03-07,900.0,6,0,0,1,1,1,1,0,0,0,1,0,0,0,177.8,180.34,155.0,72.0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,172.72,182.88,155.0,28.0,35.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
513,Paul Felder,Dan Hooker,2020-02-22,614.3974609375,27,0,1,0,4,9,4,0,0,0,1,6,2,0,182.88,190.5,155.0,846.080322265625,33,0,2,0,3,9,4,0,0,2,2,4,1,0,180.34,177.8,155.0,30.0,35.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
517,Brad Riddell,Magomed Mustafaev,2020-02-22,263.0,6,0,2,0,2,3,1,0,0,0,0,2,0,1,172.72,180.34,155.0,900.0,3,0,1,0,1,1,0,0,0,0,1,0,0,0,170.18,180.34,155.0,31.0,28.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
525,Lando Vannata,Yancy Medeiros,2020-02-15,524.299560546875,23,0,0,3,3,6,7,0,0,1,0,2,3,0,177.8,190.5,155.0,738.921875,19,0,0,1,1,2,6,0,0,0,0,1,1,0,175.26,180.34,155.0,32.0,27.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
532,Jim Miller,Scott Holtzman,2020-02-15,739.703125,26,0,1,0,3,6,3,0,0,0,3,1,1,1,175.26,175.26,155.0,110.24943042057566,73,0,2,0,7,20,13,0,0,2,6,3,9,0,172.72,180.34,155.0,36.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
561,Anthony Pettis,Diego Ferreira,2020-01-18,770.68359375,19,0,2,0,5,7,2,0,0,0,3,3,1,0,175.26,187.96,155.0,745.8288269042969,43,4,0,1,5,9,8,0,0,1,1,3,4,0,177.8,182.88,155.0,34.0,32.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
569,Drew Dober,Nasrat Haqparast,2020-01-18,618.0,11,0,0,1,3,3,1,0,0,0,2,1,0,0,177.8,182.88,155.0,366.0927734375,26,0,0,2,3,7,6,0,0,0,3,3,1,0,172.72,177.8,155.0,24.0,31.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
611,Charles Oliveira,Jared Gordon,2019-11-16,746.0,12,0,2,0,2,3,2,0,0,0,2,1,0,0,175.26,172.72,145.0,362.66974544525146,44,0,2,0,5,15,9,0,0,0,1,1,13,0,177.8,187.96,155.0,31.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
621,Francisco Trinaldo,Bobby Green,2019-11-16,875.904296875,26,0,4,0,4,5,5,0,0,1,2,1,1,0,177.8,180.34,155.0,795.8603401184082,47,0,1,0,7,13,6,0,0,1,6,3,2,1,175.26,177.8,155.0,33.0,41.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
632,Alexander Yakovlev,Roosevelt Roberts,2019-11-09,747.5,7,0,2,0,2,2,1,0,0,0,1,0,1,0,187.96,185.42,155.0,564.1875,17,0,0,2,2,3,4,0,0,0,1,1,1,0,190.5,187.96,155.0,25.0,35.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
635,Kevin Lee,Gregor Gillespie,2019-11-02,527.46875,11,0,6,0,6,6,0,0,0,0,1,3,2,0,170.18,180.34,155.0,1182.625,40,1,0,1,5,10,5,0,0,1,3,1,4,1,175.26,195.58,170.0,32.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
648,Michael Johnson,Stevie Ray,2019-10-26,474.611328125,23,0,3,0,3,6,4,0,1,1,2,2,0,0,177.8,177.8,155.0,829.8610439300537,53,1,0,1,4,11,10,0,0,1,6,4,0,0,177.8,185.42,155.0,29.0,33.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
651,Frank Camacho,Beneil Dariush,2019-10-26,613.8062133789062,32,0,1,0,5,10,5,0,0,1,4,1,4,0,177.8,182.88,155.0,618.75,13,0,0,1,1,2,3,0,0,1,0,1,0,0,177.8,185.42,170.0,30.0,30.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
654,Alex White,Rafael Fiziev,2019-10-26,86.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,172.72,180.34,155.0,673.15625,22,0,1,0,1,4,5,0,0,0,2,2,0,0,182.88,180.34,155.0,26.0,31.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
673,Mike Davis,Thomas Gifford,2019-10-12,900.0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,185.42,190.5,155.0,555.0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,182.88,182.88,145.0,27.0,27.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
675,Matt Frevola,Luis Pena,2019-10-12,701.0,10,0,1,0,2,3,1,0,0,0,1,1,1,0,190.5,190.5,155.0,690.0,7,0,0,2,1,1,2,0,0,0,1,0,0,0,175.26,180.34,155.0,26.0,29.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
690,Al Iaquinta,Dan Hooker,2019-10-05,328.794921875,24,0,1,0,4,8,4,0,0,0,0,6,2,0,182.88,190.5,155.0,1363.088623046875,38,2,0,1,5,9,4,0,0,1,4,4,0,0,177.8,177.8,155.0,29.0,32.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
707,Marc Diakiese,Lando Vannata,2019-09-28,577.84375,16,0,0,1,1,2,5,0,0,0,0,1,1,0,175.26,180.34,155.0,835.5625,18,0,3,0,3,4,3,0,0,0,2,2,0,0,177.8,185.42,155.0,27.0,26.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
718,Claudio Puelles,Marcos Mariano,2019-09-21,295.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,185.42,193.04,155.0,579.0,5,1,0,1,1,1,1,0,0,0,0,0,1,0,180.34,182.88,155.0,32.0,23.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
721,Donald Cerrone,Justin Gaethje,2019-09-14,302.5625,11,0,1,0,2,3,2,0,0,0,0,3,0,0,180.34,177.8,155.0,817.1069295210764,70,1,4,0,8,23,9,0,0,0,7,10,6,0,185.42,185.42,155.0,30.0,36.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
730,Kyle Prepolec,Austin Hubbard,2019-09-14,900.0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,177.8,180.34,155.0,900.0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,177.8,177.8,170.0,27.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
736,Islam Makhachev,Davi Ramos,2019-09-07,608.0,11,0,0,1,4,4,1,0,0,0,1,0,3,0,167.64,177.8,155.0,621.0625,14,0,1,0,5,6,1,0,0,0,3,1,2,0,177.8,177.8,155.0,32.0,27.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
737,Khabib Nurmagomedov,Dustin Poirier,2019-09-07,1082.9489650726316,50,1,4,0,4,17,5,0,1,0,5,8,3,0,175.26,182.88,155.0,1118.548828125,33,2,11,0,11,11,0,0,0,0,6,2,3,0,177.8,177.8,155.0,30.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
738,Edson Barboza,Paul Felder,2019-09-07,792.16064453125,30,0,2,0,3,8,4,0,0,1,2,4,1,0,180.34,177.8,155.0,525.5115947723389,52,0,4,0,4,14,7,0,1,1,5,7,0,0,180.34,190.5,145.0,35.0,33.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
740,Mairbek Taisumov,Diego Ferreira,2019-09-07,641.3671875,16,0,2,0,4,6,2,0,0,0,2,3,1,0,175.26,187.96,155.0,548.953125,16,0,1,0,6,7,1,0,0,0,2,5,0,0,175.26,185.42,155.0,34.0,31.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
754,Damir Ismagulov,Thiago Moises,2019-08-31,900.0,6,0,0,1,1,1,1,0,0,0,1,0,0,0,175.26,177.8,155.0,900.0,6,0,2,0,2,2,0,0,0,0,2,0,0,0,175.26,177.8,155.0,24.0,28.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
759,Christos Giagos,Drakkar Klose,2019-08-17,900.0,15,0,2,0,2,4,1,0,0,1,3,0,0,0,175.26,177.8,155.0,809.28125,13,0,0,1,2,3,3,0,0,0,2,0,1,0,177.8,180.34,155.0,31.0,29.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
782,Joaquim Silva,Nasrat Haqparast,2019-08-03,900.0,9,0,0,1,2,2,1,0,0,0,2,0,0,0,177.8,182.88,155.0,775.375,13,0,3,0,3,4,1,0,0,2,0,2,0,0,172.72,175.26,155.0,23.0,30.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
