,R_fighter,B_fighter,date,Winner,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Height_cms,B_Reach_cms,B_Weight_lbs,B_striker,B_BJJ,B_freestyle,B_wrestling,B_kickboxing,B_unknown,B_grappling,B_Country,R_striker,R_BJJ,R_freestyle,R_wrestling,R_kickboxing,R_unknown,R_grappling,R_Country,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,R_Stance_nan,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,B_Stance_nan
394,Mike Perry,Mickey Gall,6/27/2020,2,668.421875,13,0,3,0,3,5,2,0,0,0,1,0,4,0,187.96,187.96,170,0,1,0,0,0,0,0,USA,1,0,0,0,0,0,0,USA,452.0302734,27,0,2,0,2,6,6,0,0,1,1,4,0,0,177.8,180.34,170,28,28,0,1,0,0,0,0,1,0
403,Belal Muhammad,Lyman Good,6/20/2020,2,501.0625,10,0,1,0,1,3,2,0,0,0,0,3,0,0,182.88,187.96,170,1,0,0,0,0,0,0,USA,1,0,0,0,0,0,0,Palestine,804.2128906,28,0,0,1,4,7,3,0,0,1,4,1,1,0,180.34,182.88,170,35,31,0,1,0,0,1,0,0,0
428,Neil Magny,Anthony Rocco Martin,6/6/2020,2,878.1481934,38,0,0,2,4,9,5,0,0,0,5,1,3,0,182.88,185.42,170,0,1,0,0,0,0,1,USA,0,0,0,0,0,1,0,USA,834.0520601,55,0,1,0,7,15,6,0,0,1,8,5,1,0,190.5,203.2,170,30,32,1,0,0,0,1,0,0,0
439,Tyron Woodley,Gilbert Burns,5/30/2020,0,487.5958252,31,0,3,0,5,11,3,0,0,0,4,3,4,0,177.8,180.34,170,1,0,0,0,0,0,0,Brazil,0,0,0,1,0,0,0,USA,1229.739258,37,6,1,0,3,9,4,0,1,1,1,5,1,0,175.26,187.96,170,33,38,1,0,0,0,1,0,0,0
450,Matt Brown,Miguel Baeza,5/16/2020,0,452,2,0,1,0,1,1,0,0,0,0,0,1,0,0,187.96,187.96,170,1,0,0,0,0,0,0,USA,1,0,0,0,0,0,0,USA,485.8142012,56,0,1,0,7,15,10,0,0,0,2,11,2,0,182.88,190.5,170,27,39,1,0,0,0,1,0,0,0
467,Anthony Pettis,Donald Cerrone,5/9/2020,2,288.7767324,72,1,4,0,8,23,11,0,0,0,7,10,6,0,185.42,185.42,155,0,1,0,0,0,0,0,USA,1,0,0,0,0,0,0,USA,575.9144135,45,4,0,1,5,9,9,0,0,1,1,3,4,0,177.8,182.88,155,37,33,1,0,0,0,1,0,0,0
473,Vicente Luque,Niko Price,5/9/2020,2,232.3710938,15,0,1,0,2,6,4,0,0,0,0,4,2,0,182.88,193.04,170,0,1,0,0,0,0,0,USA,1,0,0,0,0,0,0,Brazil,779.6467285,25,0,0,1,6,10,3,0,0,1,0,6,3,0,180.34,190.5,170,30,28,1,0,0,0,1,0,0,0
480,Elizeu Zaleski dos Santos,Aleksei Kunchenko,3/14/2020,2,900,9,0,2,0,2,2,1,0,0,0,2,0,0,0,172.72,177.8,170,1,0,0,0,0,0,0,Russia,1,0,0,0,0,0,0,Brazil,601.2929688,22,0,0,1,7,7,2,0,0,1,2,3,1,0,180.34,185.42,170,35,33,0,1,0,0,1,0,0,0
482,Demian Maia,Gilbert Burns,3/14/2020,0,821.1916504,30,0,3,0,4,10,3,0,0,0,4,2,4,0,177.8,180.34,170,1,0,0,0,0,0,0,Brazil,0,1,0,0,0,0,0,Brazil,817.9370818,85,2,5,0,7,22,9,0,1,1,8,1,11,0,185.42,182.88,170,33,42,0,1,0,0,0,1,0,0
490,Neil Magny,Li Jingliang,3/7/2020,2,853.2138672,29,0,1,0,4,9,3,0,0,1,2,6,0,0,182.88,180.34,170,1,0,0,0,0,0,0,China,0,0,0,0,0,1,0,USA,768.1041203,52,0,1,0,7,14,6,0,0,1,7,5,1,0,190.5,203.2,170,31,32,1,0,0,0,1,0,0,0
