,avg_KD,avg_opp_KD,avg_SIG_STR_pct,avg_opp_SIG_STR_pct,avg_TD_pct,avg_opp_TD_pct,avg_SUB_ATT,avg_opp_SUB_ATT,avg_REV,avg_opp_REV,avg_SIG_STR_att,avg_SIG_STR_landed,avg_opp_SIG_STR_att,avg_opp_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,avg_opp_TOTAL_STR_att,avg_opp_TOTAL_STR_landed,avg_TD_att,avg_TD_landed,avg_opp_TD_att,avg_opp_TD_landed,avg_HEAD_att,avg_HEAD_landed,avg_opp_HEAD_att,avg_opp_HEAD_landed,avg_BODY_att,avg_BODY_landed,avg_opp_BODY_att,avg_opp_BODY_landed,avg_LEG_att,avg_LEG_landed,avg_opp_LEG_att,avg_opp_LEG_landed,avg_DISTANCE_att,avg_DISTANCE_landed,avg_opp_DISTANCE_att,avg_opp_DISTANCE_landed,avg_CLINCH_att,avg_CLINCH_landed,avg_opp_CLINCH_att,avg_opp_CLINCH_landed,avg_GROUND_att,avg_GROUND_landed,avg_opp_GROUND_att,avg_opp_GROUND_landed,avg_CTRL_time(seconds),avg_opp_CTRL_time(seconds),total_time_fought(seconds),total_rounds_fought,total_title_bouts,current_win_streak,current_lose_streak,longest_win_streak,wins,losses,draw,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,Height_cms,Reach_cms,Weight_lbs,age,Stance_Orthodox,Stance_Southpaw,Stance_Switch,Stance_nan,Win
142,0.5,0,0.45,0.445,0.5,0.165,0.5,0,0,0,232.5,112,184,84,233,112,184,84,0.5,0.5,1.5,0.5,204.5,88,129.5,40,20,16,41,31.5,8,8,13.5,12.5,228,109,180.5,83,3.5,2,3.5,1,1,1,0,0,15.5,11,708.5,5,0,2,0,2,2,0,0,0,0,1,0,1,0,185.42,187.96,170,33,0,1,0,0,1
143,0.281984329,0.626953125,0.500714312,0.440736589,0.354599991,0.007446918,0.2501297,0.504150391,5.72E-06,9.54E-07,79.60412788,37.43572521,87.01264191,36.58310032,81.56595039,39.09749603,87.94742966,37.21384907,2.522371292,0.75226593,0.203848839,0.044773102,56.78627872,21.41361237,74.83020306,26.83377266,16.56596947,9.81726265,6.484164238,4.307287216,6.251879692,6.204850197,5.698274612,5.442040443,71.7779398,32.67782497,83.53091049,35.14891148,2.63369751,0.730500221,2.694904327,0.793012619,5.192490578,4.027400017,0.786827087,0.641176224,35.14981651,4.213887215,391.4024639,45,0,2,0,4,11,10,0,0,1,3,5,2,0,187.96,190.5,170,36,0,1,0,0,1
144,0.622558594,0.28125,0.520570068,0.473438721,0.000742188,0.15682373,0.191894531,0,0.03125,0.00012207,195.5740967,102.0290527,241.8458252,116.3317871,195.7801514,102.2333984,254.7067871,128.5187988,0.014892578,0.004882813,2.443237305,0.569213867,144.5462646,60.02966309,197.4821777,80.72839355,12.38391113,7.662719727,21.38745117,14.81408691,38.6439209,34.33666992,22.97619629,20.78930664,189.1210938,98.21655273,223.0766602,104.5264893,3.550048828,1.486694336,13.22888184,7.239868164,2.902954102,2.325805664,5.540283203,4.565429688,17.15734863,90.29992676,798.3233643,28,0,0,1,6,11,3,0,0,1,0,6,3,1,180.34,190.5,170,28,1,0,0,0,1
145,0.020568848,0.015625,0.475533295,0.490276031,0.307823792,0.442255859,0.02204895,0.078277588,0.0625,0.773529053,72.56565857,33.93917847,62.14576721,28.96664429,89.47000122,49.31550598,97.06921387,59.10308838,3.872879028,1.327835083,2.976333618,1.401580811,55.92901611,20.30818176,49.20043945,20.44319153,9.766052246,7.014389038,8.29006958,4.251571655,6.87059021,6.616607666,4.655258179,4.271881104,59.72489929,26.8434906,45.10484314,16.88568115,6.979782104,3.282516479,8.612487793,6.687744141,5.860977173,3.813171387,8.428436279,5.393218994,191.5683441,287.0370636,840.3583527,39,0,0,1,3,10,7,0,0,1,2,4,3,0,180.34,193.04,170,32,1,0,0,0,1
146,0,0.4375,0.34125,0.42,0.19375,0.56625,0,0.375,0.5,0.0625,93.0625,33.9375,75.9375,32.125,124.8125,62.6875,101.0625,52.75,3.25,1,3.9375,2.375,69.8125,20,63.25,22.8125,13.125,6.0625,7.0625,4.25,10.125,7.875,5.625,5.0625,64.125,16.75,58.6875,22.8125,15.6875,9.625,3.5,2,13.25,7.5625,13.75,7.3125,201.625,304.9375,900,15,0,1,0,1,2,3,0,0,1,1,0,0,0,180.34,187.96,170,35,0,1,0,0,0
147,0.09375,0.78125,0.4096875,0.403535156,0.38,0.178046875,0.134765625,0.064453125,0.00390625,0,128.4082031,49.00195313,94.3828125,45.56445313,136.2910156,56.07226563,117.2207031,66.23242188,2.552734375,1.13671875,1.142578125,0.544921875,83.93554688,21.10742188,68.34570313,27.46875,25.5390625,14.04492188,11.203125,6.9140625,18.93359375,13.84960938,14.83398438,11.18164063,121.015625,43.40039063,84.2578125,37.48632813,4.810546875,3.689453125,8.447265625,6.447265625,2.58203125,1.912109375,1.677734375,1.630859375,101.3261719,31.36523438,750.6464844,25,0,0,1,7,8,2,0,0,1,3,3,1,0,180.34,185.42,170,33,1,0,0,0,1
148,1.0859375,0,0.548701172,0.459472656,0.184287109,0,0.004882813,0.31640625,0,0.125,274.40625,146.0595703,233.3886719,90.93066406,342.3632813,211.5615234,246.1386719,102.3525391,4.452148438,2.291015625,1.3125,0,203.2070313,88.66601563,195.1787109,60.54101563,64.52539063,51.72753906,27.31445313,21.26367188,6.673828125,5.666015625,10.89550781,9.125976563,216.3955078,95.26855469,222.2470703,80.9921875,29.05761719,26.51367188,9.983398438,8.967773438,28.953125,24.27734375,1.158203125,0.970703125,465.0205078,10.2890625,1425.553711,38,3,11,0,11,11,0,0,0,0,8,2,1,0,182.88,193.04,170,33,0,0,1,0,1
149,0.009765625,0.524414063,0.511474609,0.554873047,0.09484375,0.008691406,0,0.3125,0,0.0625,70.36328125,36.29052734,82.51660156,38.80810547,79.00830078,44.93505859,83.40527344,39.69677734,0.8515625,0.1484375,0.272460938,0.02734375,51.88916016,22.31591797,60.59423828,22.89501953,8.646972656,5.579101563,7.182128906,3.838867188,9.827148438,8.395507813,14.74023438,12.07421875,59.81005859,28.03076172,78.43994141,35.57373047,7.995117188,6.208496094,2.269042969,1.576171875,2.558105469,2.051269531,1.807617188,1.658203125,77.12597656,16.14257813,452.0302734,27,0,2,0,2,6,6,0,0,1,1,4,0,0,177.8,180.34,170,28,0,1,0,0,1
150,0,0.259765625,0.432929688,0.366679688,0.255859375,0.2525,0.5625,0.015625,0,0.0234375,123.90625,52.79882813,110.0390625,40.52148438,175.9785156,90.1328125,113.9589844,43.93554688,7.53125,1.806640625,1.3125,0.515625,102.0683594,40.58984375,90.67382813,26.3828125,17.07617188,7.818359375,10.734375,6.052734375,4.76171875,4.390625,8.630859375,8.0859375,110.2871094,44.578125,105.8261719,37.88671875,3.98828125,2.212890625,2.84765625,1.939453125,9.630859375,6.0078125,1.365234375,0.6953125,220.7148438,27.59179688,804.2128906,28,0,0,1,4,7,3,0,0,1,4,1,1,0,180.34,182.88,170,31,0,1,0,0,1
151,0.125015259,0.51953125,0.451770821,0.342394228,0.345358696,0.34713666,0.03918457,0.031777382,0.000245094,0.001998901,145.9862585,60.90101051,86.46806812,32.13152885,177.0207205,91.36137199,92.55366707,36.01838303,4.913161278,2.411296844,1.882740021,1.105735779,123.9604321,44.51269722,68.18616486,19.89970016,13.5530262,9.802548409,5.699589729,3.244306564,8.472800255,6.585764885,12.58231354,8.987522125,118.7625961,37.06735229,78.44107628,28.13055801,11.58531094,9.878435135,6.407569885,2.570527077,15.63835144,13.95522308,1.619421959,1.430443764,188.5194769,154.5617018,834.0520601,55,0,1,0,7,15,6,0,0,1,8,5,1,0,190.5,203.2,170,32,1,0,0,0,0
152,0.490478516,0,0.614851074,0.44203125,0.063476563,0.165976563,0.3125,0.000976563,0,0,77.86816406,44.13647461,125.4020996,79.09179688,99.34057617,64.13037109,225.5153809,178.6000977,1.663085938,0.096679688,5.664550781,1.001953125,57.1003418,26.10644531,76.12792969,33.72851563,16.78027344,14.16088867,46.6015625,43.34985352,3.987548828,3.869140625,2.672607422,2.013427734,45.44238281,16.62841797,64.15649414,21.67114258,16.55981445,14.18115234,41.48779297,39.38549805,15.8659668,13.3269043,19.7578125,18.03515625,100.7416992,562.5961914,1229.739258,37,6,1,0,3,9,4,0,1,1,1,5,1,0,175.26,187.96,170,38,1,0,0,0,1
