R_fighter,B_fighter,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,Win
Santiago Ponzinibbio,Li Jingliang,0.580771307056994,0.4366197183098592,0,1,0,4,9,4,0.6000000000000005,0.35714285714285765,0.41666666666666696,0.566123647734956,0.2857142857142857,0,0,1,7,9,2,0.6000000000000005,0.4615384615384608,0.41666666666666696,0.6000000000000001,0.6521739130434783,1.0,0.0,0.0,1.0,0.0,0.0,0
Stephen Thompson,Geoff Neal,0.19750336247478142,0.11267605633802817,0,5,0,5,5,0,0.5000000000000009,0.6428571428571432,0.41666666666666696,0.6126730030980603,0.49999999999999994,2,1,0,7,10,5,0.6000000000000005,0.615384615384615,0.41666666666666696,0.5,0.7826086956521742,1.0,0.0,0.0,0.0,1.0,0.0,2
Anthony Pettis,Alex Morono,0.41646877101546736,0.35211267605633806,0,2,0,3,7,4,0.5000000000000009,0.4285714285714288,0.41666666666666696,0.48475808433135514,0.5595238095238095,4,0,1,5,10,9,0.40000000000000124,0.38461538461538414,0.16666666666666696,0.5,0.6086956521739131,1.0,0.0,0.0,1.0,0.0,0.0,2
Michel Pereira,Khaos Williams,0.010423671822461332,0.014084507042253521,0,2,0,2,2,0,0.6000000000000005,0.7857142857142865,0.41666666666666696,0.5014367816091954,0.10714285714285714,0,1,0,1,2,2,0.7000000000000002,0.4615384615384608,0.41666666666666696,0.30000000000000004,0.3478260869565217,1.0,0.0,0.0,1.0,0.0,0.0,2
Miguel Baeza,Takashi Sato,0.19115669132481505,0.07042253521126761,0,1,0,1,2,1,0.40000000000000124,0.5,0.41666666666666696,0.24611223799864773,0.03571428571428571,0,2,0,2,2,0,0.8000000000000007,0.5384615384615383,0.41666666666666696,0.5,0.39130434782608714,1.0,0.0,0.0,0.0,1.0,0.0,2
Mike Perry,Tim Means,0.4254883873278291,0.6619718309859155,0,2,0,4,12,10,0.8000000000000007,0.6428571428571432,0.41666666666666696,0.4428770363209939,0.3452380952380952,0,2,0,2,7,6,0.40000000000000124,0.3076923076923075,0.41666666666666696,0.8,0.43478260869565233,1.0,0.0,0.0,1.0,0.0,0.0,0
Daniel Rodriguez,Nicolas Dalby,0.3503698722259583,0.2112676056338028,0,1,0,1,2,4,0.5000000000000009,0.5714285714285721,0.41666666666666696,0.2740027045300879,0.05952380952380952,0,3,0,3,3,0,0.7000000000000002,0.5384615384615383,0.41666666666666696,0.8,0.6086956521739131,0.0,1.0,0.0,1.0,0.0,0.0,0
Alex Morono,Rhys McKee,0.1183591123066577,0.0,0,0,1,0,0,1,0.8000000000000007,0.8571428571428577,0.41666666666666696,0.23230434415145368,0.26190476190476186,0,2,0,3,6,4,0.5000000000000009,0.38461538461538414,0.41666666666666696,0.25,0.4782608695652175,1.0,0.0,0.0,1.0,0.0,0.0,2
Abdul Razak Alhassan,Khaos Williams,0.009414929388029588,0.0,0,1,0,1,1,0,0.6000000000000005,0.7857142857142865,0.41666666666666696,0.34768002028397565,0.10714285714285714,0,1,0,3,4,2,0.40000000000000124,0.4615384615384608,0.41666666666666696,0.30000000000000004,0.6956521739130435,1.0,0.0,0.0,1.0,0.0,0.0,0
Cole Williams,Jason Witt,0.02353732347007398,0.0,0,0,1,0,0,1,0.40000000000000124,0.2857142857142865,0.41666666666666696,0.09060175794455713,0.0,0,0,1,0,0,1,0.6000000000000005,0.4615384615384608,0.41666666666666696,0.6500000000000001,0.7391304347826086,1.0,0.0,0.0,1.0,0.0,0.0,0
Claudio Silva,James Krause,0.5467242796948555,0.3943661971830986,0,1,0,6,8,4,0.8000000000000007,0.5,0.41666666666666696,0.26512846517917515,0.11904761904761903,0,5,0,5,5,0,0.5000000000000009,0.3076923076923075,0.41666666666666696,0.7000000000000002,0.8260869565217394,0.0,1.0,0.0,1.0,0.0,0.0,0
Carlos Condit,Court McGee,0.5931020094070486,0.619718309859155,1,3,0,3,8,8,0.5000000000000009,0.6428571428571432,0.41666666666666696,0.3165303424373521,0.5238095238095238,3,0,1,5,7,9,0.8000000000000007,0.615384615384615,0.41666666666666696,0.75,0.7391304347826086,1.0,0.0,0.0,1.0,0.0,0.0,2
Diego Sanchez,Jake Matthews,0.5447593334944519,0.4225352112676057,0,2,0,3,9,4,0.5000000000000009,0.5,0.41666666666666696,0.5025624306910268,0.9523809523809523,2,6,0,6,19,12,0.40000000000000124,0.38461538461538414,0.41666666666666696,0.30000000000000004,0.8260869565217394,0.0,1.0,0.0,1.0,0.0,0.0,0
Colby Covington,Tyron Woodley,0.9091255069981506,0.5774647887323944,6,1,0,3,9,5,0.3000000000000007,0.5714285714285721,0.41666666666666696,0.9295739308654496,0.4404761904761904,2,3,0,7,10,2,0.5000000000000009,0.38461538461538414,0.41666666666666696,0.9000000000000001,0.5652173913043479,1.0,0.0,0.0,1.0,0.0,0.0,2
Donald Cerrone,Niko Price,0.3441059494788164,0.23943661971830985,0,1,0,2,6,5,0.6000000000000005,0.7142857142857144,0.41666666666666696,0.38768652210286314,0.8809523809523809,1,4,0,8,23,12,0.7000000000000002,0.4615384615384608,0.16666666666666696,0.5,0.7826086956521742,1.0,0.0,0.0,1.0,0.0,0.0,1
Bryan Barberena,Anthony Ivy,0.03093476798924008,0.0,0,0,1,0,0,1,0.8000000000000007,0.5714285714285721,0.666666666666667,0.4711851335361731,0.2857142857142857,0,1,0,2,5,5,0.6000000000000005,0.38461538461538414,0.41666666666666696,0.5,0.5217391304347827,0.0,1.0,0.0,1.0,0.0,0.0,2
Michel Pereira,Zelim Imadaev,0.49361129791526565,0.056338028169014086,0,0,2,0,0,2,0.6000000000000005,0.7142857142857144,0.41666666666666696,0.42275185936443543,0.07142857142857142,0,1,0,1,1,2,0.7000000000000002,0.4615384615384608,0.41666666666666696,0.25,0.3043478260869565,1.0,0.0,0.0,1.0,0.0,0.0,2
