R_fighter,B_fighter,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance,B_Stance,BR_Stance,Win
Geoff Neal,Mike Perry,814.0605469,26,0,2,0,2,6,5,177.8,180.34,170,523.375,8,0,4,0,4,4,0,180.34,190.5,170,28,29,1,0,-1,2
Kamaru Usman,Colby Covington,1341.679688,33,1,3,0,7,10,1,180.34,182.88,170,1401.107422,33,2,10,0,10,10,0,182.88,193.04,170,31,32,2,0,-2,2
Matt Brown,Ben Saunders,324.0712433,35,0,3,0,3,9,9,187.96,195.58,170,376.6284025,54,0,1,0,7,14,10,182.88,190.5,170,36,38,0,0,0,2
Thiago Alves,Tim Means,373.6098557,42,0,2,0,4,10,9,187.96,190.5,170,873.6552618,64,1,0,1,7,15,11,175.26,177.8,170,35,36,0,0,0,0
Sergio Moraes,James Krause,644.9160156,23,0,1,0,5,7,3,187.96,185.42,170,813.1865234,34,1,0,1,4,8,5,182.88,182.88,170,33,37,0,0,0,0
Warlley Alves,Randy Brown,680.2421875,21,0,1,0,2,5,3,190.5,198.12,170,717.7402344,25,1,4,0,4,7,3,180.34,182.88,170,29,28,0,0,0,0
Zelim Imadaev,Danny Roberts,384.8046875,18,0,2,0,2,5,4,185.42,187.96,170,900,3,0,0,1,0,0,1,182.88,193.04,170,32,24,0,1,1,0
Rustam Khabilov,Sergey Khandozhko,900,3,0,1,0,1,1,0,185.42,187.96,170,899.409668,33,0,3,0,6,9,3,172.72,185.42,155,27,33,0,0,0,2
Ramazan Emeev,Anthony Rocco Martin,856.2963867,35,0,0,2,4,8,5,182.88,185.42,170,900,9,0,3,0,3,3,0,177.8,193.04,170,29,32,1,0,-1,0
Stephen Thompson,Vicente Luque,659.293457,22,0,0,1,6,10,2,180.34,190.5,170,954.2867432,40,2,1,0,7,9,5,182.88,190.5,170,27,36,0,0,0,2
Jorge Masvidal,Nate Diaz,993.2878923,60,2,5,0,5,15,9,182.88,193.04,170,322.1848602,44,0,2,0,3,11,6,180.34,187.96,170,34,34,0,1,1,2
Lyman Good,Chance Rencountre,711.25,7,0,0,1,2,2,1,187.96,190.5,170,279.125,7,0,1,0,1,2,2,182.88,187.96,170,32,34,0,1,1,2
Muslim Salikhov,Laureano Staropoli,900,6,0,2,0,2,2,0,185.42,180.34,170,396.5,5,0,0,1,2,2,1,180.34,177.8,170,26,35,0,0,0,2
Demian Maia,Ben Askren,102.5,2,0,1,0,1,1,1,180.34,185.42,170,801.8741637,82,2,5,0,7,21,9,185.42,182.88,170,35,41,1,0,-1,2
Niko Price,James Vick,398.6157227,26,0,5,0,5,9,4,190.5,193.04,155,360.7421875,14,0,1,0,2,5,4,182.88,193.04,170,32,30,0,0,0,2
Max Griffin,Alex Morono,504.3125,19,0,2,0,2,5,3,180.34,182.88,170,884.25,19,0,0,1,1,3,4,180.34,193.04,170,29,33,0,0,0,0
