R_fighter,B_fighter,BR_Total_time_fought,BR_total_rounds_fought,BR_total_title_bouts,BR_current_win_streak,BR_current_lose_streak,BR_longest_win_Streak,BR_Wins,BR_losses,BR_Height,BR_Reach,BR_Weight,BR_age,BR_Stance,Win
Lyman Good,Ben Saunders,-260.2150269,27,0,2,0,2,8,6,2,4,-2,2,0,2
Nordine Taleb,Sean Strickland,202.4726563,2,0,-1,0,0,0,0,0,0,0,-10,0,0
Alex Garcia,Court McGee,106.3579102,14,1,1,0,1,2,2,0,2,-2,2,0,0
Ryan LaFlare,Anthony Rocco Martin,86.4921875,-5,0,-4,2,-1,-2,2,-4,6,-10,-7,-1,0
Alex Oliveira,Carlo Pedersoli Jr.,361.5327148,-24,0,1,-1,-2,-7,-4,-3,-1,-2,-5,1,2
Sergio Moraes,Ben Saunders,-396.9222412,4,-1,3,-1,-1,2,3,-1,4,-5,-1,0,2
Abdul Razak Alhassan,Niko Price,129.0625,4,0,0,0,0,1,1,0,1,-1,-5,0,2
Geoff Neal,Frank Camacho,732,8,0,-1,1,0,0,2,-2,4,-6,1,-1,2
Tyron Woodley,Darren Till,-335.6757813,-13,-4,0,0,1,-3,-2,-1,-1,0,-11,1,2
Diego Sanchez,Craig White,-38.63735987,-69,-2,-6,1,-6,-16,-10,-6,-4,-2,-8,-1,2
James Krause,Warlley Alves,-124.8710938,-1,1,3,0,0,0,-1,1,-2,3,-5,0,2
Jake Ellenberger,Bryan Barberena,485.9006348,-22,0,1,-1,-4,-6,-7,1,-8,9,-4,1,0
Mickey Gall,George Sullivan,-26.09375,7,0,-1,0,-1,0,2,-2,4,-6,11,-2,2
Jordan Mein,Alex Morono,-351.515625,-6,0,1,0,0,-1,-2,1,-3,4,-1,0,2
Emil Meek,Bartosz Fabinski,0,0,0,1,0,1,1,-1,2,-3,5,3,-2,0
Randy Brown,Niko Price,-319.09375,-8,0,0,0,-1,-1,0,-1,1,-2,0,0,0
Sage Northcutt,Zak Ottow,-456.40625,-5,0,-1,0,-1,-2,0,-2,2,-4,9,0,2
Paul Felder,Mike Perry,284.3261719,-8,0,0,0,-1,-3,0,-3,3,-6,-8,0,0
Curtis Millender,Max Griffin,217,8,0,-1,1,0,1,2,-1,3,-4,2,0,2
Li Jingliang,Daichi Abe,232.2890625,-14,0,0,0,-3,-5,-2,-3,1,-4,-4,0,2
Donald Cerrone,Leon Edwards,505.1563803,-30,-1,-4,1,-3,-13,-5,-8,3,-11,-9,1,0
Shinsho Anzai,Jake Matthews,170.9140625,14,0,2,-1,0,4,2,2,0,2,-9,0,0
Rafael Dos Anjos,Colby Covington,-170.3647379,-41,-3,3,-2,0,-9,-6,-3,-3,0,-3,-1,0
CM Punk,Mike Jackson,-89,0,0,0,0,0,0,0,0,0,0,-6,0,1
Jake Ellenberger,Ben Saunders,174.8161621,-10,0,3,-1,-3,-2,-3,1,-4,5,2,0,0
Stephen Thompson,Darren Till,-578.5844727,-21,-2,0,0,-4,-5,-2,-3,1,-4,-10,1,0
Claudio Silva,Nordine Taleb,-463.03125,14,0,1,0,1,4,2,2,0,2,1,-1,2
Zak Cummings,Michel Prazeres,292.4140625,12,0,-2,1,4,2,0,2,-2,4,3,-1,0
Demian Maia,Kamaru Usman,-290.1339345,-55,-1,2,0,0,-12,-8,-4,-4,0,-9,1,0
Vicente Luque,Chad Laprise,-147.171875,5,1,3,-1,-1,1,0,1,-1,2,5,0,2
Elizeu Zaleski dos Santos,Sean Strickland,0.2265625,7,0,2,-1,-1,2,1,1,0,1,-4,0,2
Alberto Mina,Ramazan Emeev,422.25,-3,0,-2,0,-2,-2,0,-2,2,-4,-6,1,0
Warlley Alves,Sultan Aliev,-302.921875,-14,-1,-4,1,-3,-4,-1,-3,2,-5,6,0,2
Ryan LaFlare,Alex Garcia,-86.1328125,-6,0,-2,0,-2,-1,1,-2,3,-5,-4,-1,2
Siyar Bahadurzada,Luan Chagas,99.125,-4,0,-1,2,-1,-2,0,-2,2,-4,-10,0,2
Anthony Rocco Martin,Keita Nakamura,-8.203125,3,0,0,1,-2,-1,1,-2,3,-5,5,1,2
Carlos Condit,Alex Oliveira,-167.6589355,-16,-3,0,0,-2,0,-3,3,-6,9,-3,0,0
Dhiego Lima,Yushin Okami,30.18093109,41,-1,4,-1,3,12,2,10,-8,18,7,1,0
Danny Roberts,Oliver Enkamp,559.125,-7,0,-2,1,-2,-3,-1,-2,1,-3,-4,1,2
Leon Edwards,Peter Sobotta,-346.21875,-3,0,0,2,-2,-2,2,-4,6,-10,5,0,2
Mike Pyle,Zak Ottow,152.8963852,-26,0,1,-1,-3,-8,-6,-2,-4,2,-11,0,0
Mike Perry,Max Griffin,42.0625,-6,0,-2,1,-1,-3,0,-3,3,-6,6,0,0
Ben Saunders,Alan Jouban,-244.230957,-8,0,-2,0,0,-2,-1,-1,0,-1,2,1,0
Donald Cerrone,Yancy Medeiros,132.3547528,-34,-1,-4,3,-5,-13,-2,-11,9,-20,-4,0,2
Joshua Burkman,Alex Morono,487.4727631,-33,0,0,0,0,-4,-10,6,-16,22,-10,0,0
Jake Matthews,Li Jingliang,-358.40625,-1,0,-1,0,2,1,-1,2,-3,5,6,0,2
Luke Jumeau,Daichi Abe,0,-3,0,0,0,0,0,-1,1,-2,3,-3,0,2
Sergio Moraes,Tim Means,249.8944702,14,-1,2,-1,0,3,4,-1,5,-6,-2,0,2
Drew Dober,Frank Camacho,602.515625,-11,0,0,-1,-1,-3,-4,1,-5,6,-1,-1,2
Niko Price,George Sullivan,122.8125,6,0,1,0,1,1,0,1,-1,2,8,0,2
Sabah Homasi,Abdul Razak Alhassan,0.25,2,0,1,-2,1,2,-1,3,-4,7,3,0,0
Kamaru Usman,Emil Meek,382.28125,-12,-1,-5,0,-5,-5,0,-5,5,-10,-1,0,2
Carlos Condit,Neil Magny,-118.3540497,6,-3,1,-1,2,5,-1,6,-7,13,-3,0,0
Chad Laprise,Galore Bofando,-416.4375,-16,-1,-2,0,-2,-4,-2,-2,0,-2,4,2,2
Robbie Lawler,Rafael Dos Anjos,-259.7471859,7,-2,-3,2,0,3,2,1,1,0,-2,0,0
Nordine Taleb,Danny Roberts,-192.1875,-10,0,-1,0,-1,-2,-1,-1,0,-1,-6,1,2
Santiago Ponzinibbio,Mike Perry,-109.3125,-8,0,2,-1,-3,-3,-1,-2,1,-3,-5,0,2
Jordan Mein,Erick Silva,-218.0157471,10,0,0,0,0,4,3,1,2,-1,5,0,2
Alex Oliveira,Yancy Medeiros,42.52734375,-5,0,0,2,-1,-2,2,-4,6,-10,1,0,0
Sabah Homasi,Abdul Razak Alhassan,0.5,2,0,1,-1,1,1,0,1,-1,2,3,0,0
Li Jingliang,Zak Ottow,206.15625,-7,0,0,0,-2,-3,-1,-2,1,-3,1,0,2
Jake Matthews,Bojan Velickovic,206.59375,0,0,-1,0,-1,-2,0,-2,2,-4,5,1,2
Tim Means,Belal Muhammad,149.0548096,-21,0,-2,1,-2,-6,-4,-2,-2,0,-4,0,0
Matt Brown,Diego Sanchez,-131.9820852,16,2,5,0,-1,3,0,3,-3,6,-1,1,2
Court McGee,Sean Strickland,66.74511719,-14,-1,-1,0,0,-2,-3,1,-4,5,-6,0,0
Stephen Thompson,Jorge Masvidal,-666.8150635,8,-2,1,0,-4,1,2,-1,3,-4,-2,0,2
Randy Brown,Mickey Gall,-463.1875,-9,0,2,0,1,0,-2,2,-4,6,-2,2,2
Vicente Luque,Niko Price,-273.28125,-7,0,1,-1,-3,-2,-1,-1,0,-1,3,0,2
Demian Maia,Colby Covington,-264.5491191,-50,-2,-2,0,-3,-12,-6,-6,0,-6,-10,-1,0
Elizeu Zaleski dos Santos,Max Griffin,-489.375,-8,0,0,0,-2,-2,0,-2,2,-4,1,0,2
Donald Cerrone,Darren Till,159.4380213,-42,-1,-3,0,-6,-16,-5,-11,6,-17,-10,1,0
Keita Nakamura,Alex Morono,-64.5625,-12,0,2,-3,1,0,-4,4,-8,12,-6,-1,2
Shinsho Anzai,Luke Jumeau,448,-1,0,1,-1,0,0,-1,1,-2,3,-2,0,2
Kamaru Usman,Sergio Moraes,10.53125,8,0,-5,1,-1,1,2,-1,3,-4,5,-2,2
Neil Magny,Rafael Dos Anjos,194.6680274,15,3,-1,2,-2,3,3,0,3,-3,2,1,0
Darren Till,Bojan Velickovic,114.25,4,0,0,0,0,0,1,-1,2,-3,4,0,2
Leon Edwards,Bryan Barberena,-330.1875,-4,0,1,-1,-1,-1,0,-1,1,-2,2,0,2
Alan Jouban,Niko Price,-109.0976563,-15,0,0,0,-2,-5,-2,-3,1,-4,-8,-1,0
Tyron Woodley,Demian Maia,-523.9408243,40,-2,4,0,4,12,3,9,-6,15,4,1,2
Robbie Lawler,Donald Cerrone,-312.454366,1,-4,1,0,3,7,0,7,-7,14,-1,-1,2
Lyman Good,Elizeu Zaleski dos Santos,353.75,7,0,-1,1,1,1,1,0,1,-1,-2,0,0
Ryan LaFlare,Alex Oliveira,-509.2617188,-3,0,-4,1,-1,0,2,-2,4,-6,-4,-1,0
Danny Roberts,Bobby Nash,-121.5,-5,0,-2,1,-2,-2,0,-2,2,-4,-3,-1,2
Gunnar Nelson,Santiago Ponzinibbio,277.6796875,-3,0,-4,1,0,-1,0,-1,1,-2,2,-2,0
Chad Laprise,Brian Camozzi,-20.875,-12,-1,-3,1,-3,-4,-1,-3,2,-5,-4,0,2
Jordan Mein,Belal Muhammad,69.5625,-2,0,-1,1,-1,-1,-1,0,-1,1,1,0,0
Dhiego Lima,Jesse Taylor,39.875,-5,-1,0,0,-1,-1,-2,1,-3,4,6,0,0
Tim Means,Alex Garcia,129.9533691,-17,0,0,0,-2,-4,-4,0,-4,4,-4,0,2
Dong Hyun Kim,Colby Covington,133.4446259,-25,0,1,0,-1,-7,-3,-4,1,-5,-6,-1,0
Tarec Saffiedine,Rafael Dos Anjos,26.41790295,38,3,-1,2,4,12,4,8,-4,12,2,-1,0
Kiichi Kunimoto,Zak Ottow,290.375,-2,0,-2,0,-2,-2,0,-2,2,-4,-6,0,0
Erick Silva,Yancy Medeiros,-123.2380371,-8,0,-1,3,0,-3,-1,-2,1,-3,-3,0,0
Luan Chagas,Jim Wallhead,31.5,-3,0,0,-1,0,0,-1,1,-2,3,10,0,2
Abdul Razak Alhassan,Omari Akhmedov,739.484375,14,0,0,0,1,3,3,0,3,-3,-2,0,0
Nicholas Musoke,Bojan Velickovic,44.5625,-4,0,-1,0,-1,-2,0,-2,2,-4,-3,1,0
Darren Till,Jessin Ayari,251.5,-2,0,0,0,0,0,-1,1,-2,3,0,-1,2
Peter Sobotta,Ben Saunders,72.68457031,8,0,3,-3,1,5,0,5,-5,10,4,-1,2
Demian Maia,Jorge Masvidal,-16.98871267,-27,-1,-3,0,-3,-9,-2,-7,5,-12,-7,-1,2
Jake Ellenberger,Mike Perry,412.8525391,-30,0,2,-1,-4,-8,-7,-1,-6,5,-7,0,0
Bryan Barberena,Joe Proctor,-450.390625,0,0,0,0,0,1,1,0,1,-1,4,-1,2
Zak Cummings,Nathan Coy,-114.671875,-11,0,-2,1,-1,-4,-1,-3,2,-5,6,0,2
Kamaru Usman,Sean Strickland,36.78125,5,-1,-2,0,-1,1,1,0,1,-1,-3,-2,2
Thiago Alves,Patrick Cote,-77.22809792,0,1,0,3,-3,-3,2,-5,7,-12,4,0,2
Leon Edwards,Vicente Luque,-627.0625,-8,0,0,0,2,0,-1,1,-2,3,0,-1,2
Gunnar Nelson,Alan Jouban,122.8046875,-2,0,-3,0,-1,0,0,0,0,0,7,-1,2
Alex Oliveira,Tim Means,-148.4458008,11,0,2,-1,1,3,2,1,1,0,4,0,2
Tyron Woodley,Stephen Thompson,268.7597656,5,-1,0,0,4,2,-1,3,-4,7,0,0,2
Nordine Taleb,Santiago Ponzinibbio,61,1,0,-3,1,0,1,1,0,1,-1,-5,0,0
Randy Brown,Belal Muhammad,-36.625,-3,0,-1,1,-1,-2,1,-3,4,-7,2,0,0
Ryan LaFlare,Roan Carneiro,-457.2734375,-3,0,-3,0,-3,-1,3,-4,7,-11,5,-1,2
Alex Morono,Niko Price,-630,-5,0,-1,0,-1,-1,0,-1,1,-2,1,0,1
Donald Cerrone,Jorge Masvidal,39.16761255,-15,-1,-2,0,-5,-11,0,-11,11,-22,-1,0,0
Court McGee,Ben Saunders,-263.046875,-8,-1,0,0,0,0,0,0,0,0,1,0,0
Dong Hyun Kim,Tarec Saffiedine,581.6392517,-25,0,-1,0,-3,-10,-2,-8,6,-14,-5,1,2
Johny Hendricks,Neil Magny,-227.5960236,-6,-3,-3,0,1,-1,-1,0,-1,1,-4,-1,0
Mike Pyle,Alex Garcia,271.7302704,-22,0,2,-1,-2,-7,-5,-2,-3,1,-12,0,0
Alex Oliveira,Tim Means,-296.8916016,11,0,2,-1,1,3,2,1,1,0,4,0,1
Alan Jouban,Mike Perry,-35.390625,-9,0,1,0,0,-3,-2,-1,-1,0,-10,-1,2
James Moontasri,Alex Morono,277.1875,-7,0,1,-1,0,-1,-3,2,-5,7,-2,-2,0
Bryan Barberena,Colby Covington,-150.75,3,0,2,0,1,2,0,2,-2,4,1,-1,0
Sage Northcutt,Mickey Gall,-531.75,-6,0,0,0,0,-1,-1,0,-1,1,4,2,0
