R_fighter,B_fighter,BR_Total_time_fought,BR_total_rounds_fought,BR_total_title_bouts,BR_current_win_streak,BR_current_lose_streak,BR_longest_win_Streak,BR_Wins,BR_losses,BR_Height,BR_Reach,BR_Weight,BR_age,BR_Stance,Win
John Hathaway,John Maguire,-150.25,-14,0,-2,0,-2,-4,-1,-3,2,-5,4,1,2
Sean Pierson,Lance Benoist,92.25,-4,0,0,0,0,-1,-1,0,-1,1,-12,0,2
Seth Baczynski,Simeon Thoresen,-238.5,-8,0,1,-1,-2,-2,-1,-1,0,-1,-2,0,2
Kyle Noke,Charlie Brenneman,-94.5625,7,0,-2,0,-1,1,1,0,1,-1,-1,-1,2
Mike Swick,DaMarques Johnson,-130.2382813,-11,1,-5,1,-3,-5,1,-6,7,-13,-3,0,2
Brian Ebersole,James Head,-278,-6,0,-4,1,-3,-3,1,-4,5,-9,-3,-1,0
Chris Clements,Matthew Riddle,-28.296875,23,0,2,0,2,5,3,2,1,1,-10,1,1
Aaron Simpson,Kenny Robertson,-560.2382813,-21,0,-3,1,-3,-6,-2,-4,2,-6,-9,0,2
Dong Hyun Kim,Demian Maia,186.0319824,10,1,3,0,2,3,2,1,1,0,4,0,0
Brian Ebersole,TJ Waldburger,-532.125,-1,0,-2,0,-1,0,1,-1,2,-3,-7,-1,2
Matt Brown,Luis Ramos,-631.9365234,-26,0,-1,1,-3,-7,-4,-3,-1,-2,0,0,2
Dan Miller,Ricardo Funch,-496.7050781,-19,0,-3,3,-3,-5,-2,-3,1,-4,1,1,2
Erick Silva,Charlie Brenneman,665.25,13,0,0,0,1,3,1,2,-1,3,4,0,2
Mike Pyle,Josh Neer,145.4194336,11,0,0,0,-1,1,3,-2,5,-7,-7,0,2
Seth Baczynski,Lance Benoist,411,-4,0,1,-1,-1,-1,-1,0,-1,1,-7,1,2
Mike Pierce,Carlos Eduardo Rocha,-340.40625,-19,0,0,0,-2,-4,-2,-2,0,-2,-1,0,2
Jake Hecht,Sean Pierson,503,4,0,0,0,0,0,1,-1,2,-3,8,1,0
Jake Ellenberger,Martin Kampmann,275.6741943,13,0,4,-1,-2,4,3,1,2,-1,3,0,0
Dan Hardy,Duane Ludwig,-378.7578125,-9,-1,-2,0,-2,0,-1,1,-2,3,3,0,2
Amir Sadollah,Jorge Lopez,110.6640625,-16,-1,-1,1,-2,-5,-2,-3,1,-4,-8,0,2
John Hathaway,Pascal Krauss,19.5,-13,0,-3,0,-3,-4,-1,-3,2,-5,1,0,2
Josh Koscheck,Johny Hendricks,-462.4974403,-27,-1,2,0,-1,-8,-4,-4,0,-4,-6,1,0
Matt Brown,Stephen Thompson,-190.8730469,-23,0,0,0,-2,-5,-5,0,-5,5,-2,0,2
Rory MacDonald,Che Mills,-447,-7,0,0,0,-1,-2,-1,-1,0,-1,7,0,2
DaMarques Johnson,John Maguire,634.296875,-8,-1,1,-1,-1,-3,-3,0,-3,3,-1,1,0
Papy Abedi,James Head,601,2,0,0,0,0,0,0,0,0,0,-5,-1,0
Thiago Alves,Martin Kampmann,296.3603516,-11,-1,4,-1,-3,-2,-1,-1,0,-1,1,0,0
TJ Waldburger,Jake Hecht,5.25,-3,0,0,0,0,-1,-1,0,-1,1,5,0,2
Yoshihiro Akiyama,Jake Shields,123,-1,1,0,0,0,0,-1,1,-2,3,-3,0,0
Diego Sanchez,Jake Ellenberger,-661.3130188,-30,-2,-6,1,-1,-7,-3,-4,1,-5,-4,-1,0
Josh Koscheck,Mike Pierce,134.6769943,-21,-1,-1,0,-2,-9,-3,-6,3,-9,-3,0,2
Matt Brown,Chris Cope,-38.74609375,-18,0,0,0,-2,-4,-4,0,-4,4,-3,0,2
Nick Diaz,Carlos Condit,-372.6591797,-16,0,-2,1,1,-3,-3,0,-3,3,-1,-1,0
Charlie Brenneman,Daniel Roberts,240.09375,0,0,-1,1,1,0,1,-1,2,-3,1,1,2
Duane Ludwig,Josh Neer,4.791992188,15,0,-2,1,0,1,4,-3,7,-10,-5,0,0
Ricardo Funch,Mike Pyle,-119.796875,11,0,0,-1,3,4,1,3,-2,5,5,-1,0
Jon Fitch,Johny Hendricks,-253.7658081,-27,-1,-4,0,-4,-7,-1,-6,5,-11,-5,1,0
Dong Hyun Kim,Sean Pierson,-3.703125,-15,0,-1,0,-2,-4,-1,-3,2,-5,5,0,2
Claude Patrick,Brian Ebersole,-193,-4,0,-1,0,-1,-1,0,-1,1,-2,0,1,0
Rick Story,Martin Kampmann,-36.34228516,1,0,4,-1,-2,2,2,0,2,-2,2,-1,0
Matt Brown,Seth Baczynski,-39.4921875,-15,0,-1,1,-2,-4,-3,-1,-2,1,0,0,0
DaMarques Johnson,Clay Harvison,198.59375,-5,-1,1,-1,-1,-2,-2,0,-2,2,2,0,2
Mike Pierce,Paul Bradley,156.375,-14,0,-1,1,-3,-4,-1,-3,2,-5,-3,0,2
BJ Penn,Nick Diaz,-206.7859058,-35,-11,-1,0,-1,-6,-4,-2,-2,0,-4,1,0
Anthony Johnson,Charlie Brenneman,175.984375,-6,0,0,0,-1,-3,-2,-1,-1,0,3,0,2
Josh Neer,Keith Wisniewski,53.91601563,-22,0,0,0,-2,-4,-5,1,-6,7,1,0,2
Matt Hughes,Josh Koscheck,818.4617193,-10,-11,0,0,-1,-5,-1,-4,3,-7,-4,-2,0
Jake Shields,Jake Ellenberger,-725,4,-1,-1,1,3,3,0,3,-3,6,-6,0,0
Clay Harvison,Seth Baczynski,0,0,0,-1,1,-1,-1,1,-2,3,-5,-1,0,0
Paulo Thiago,David Mitchell,82.34375,-12,0,-1,1,-2,-3,-2,-1,-1,0,1,0,2
Amir Sadollah,Duane Ludwig,-142.171875,-7,-1,1,0,0,-2,0,-2,2,-4,3,0,0
Dan Hardy,Chris Lytle,-15.85511017,26,0,-4,2,0,5,7,-2,9,-11,7,0,0
Dennis Hallman,Brian Ebersole,421.65625,-14,-1,0,0,-1,-2,-4,2,-6,8,-5,1,0
Rory MacDonald,Mike Pyle,94.40625,8,0,-1,1,2,2,1,1,0,1,13,0,2
Johny Hendricks,Mike Pierce,186.96875,1,0,-3,0,-1,-1,0,-1,1,-2,3,-1,2
Carlos Condit,Dong Hyun Kim,309.65625,8,0,2,-1,0,2,0,2,-2,4,2,1,2
Daniel Roberts,Rich Attonito,237.0625,-1,0,2,-1,-1,-1,-1,0,-1,1,4,-1,0
Matt Brown,John Howard,311.578125,-1,0,3,0,1,0,-2,2,-4,6,-2,0,2
Charlie Brenneman,Rick Story,66.078125,11,0,-1,1,5,4,0,4,-4,8,-4,1,2
Thiago Alves,Rick Story,-191.7958984,-17,-1,0,0,-2,-5,-3,-2,-1,-1,-1,1,0
Jake Ellenberger,Sean Pierson,112,-8,0,1,-1,-2,-2,-1,-1,0,-1,9,1,2
Georges St-Pierre,Jake Shields,-553.112915,-45,-10,-1,0,-7,-14,-2,-12,10,-22,3,0,2
Daniel Roberts,Claude Patrick,395.625,-1,0,2,-1,-1,-1,-1,0,-1,1,0,-1,0
Nate Diaz,Rory MacDonald,-197.2070313,-23,-1,-4,0,-4,-7,-3,-4,1,-5,-5,-1,0
DaMarques Johnson,Amir Sadollah,482.53125,6,0,1,-1,0,1,0,1,-1,2,2,0,0
Anthony Johnson,Dan Hardy,299.5,2,1,3,0,1,-1,-1,0,-1,1,1,0,2
John Hathaway,Kris McCray,-530,-10,1,-4,2,-4,-4,1,-5,6,-11,6,0,2
Johny Hendricks,TJ Waldburger,194.4375,-9,0,-3,0,-3,-3,-1,-2,1,-3,-5,-1,2
Ricardo Almeida,Mike Pyle,103.5371094,-10,0,0,0,-1,-3,-2,-1,-1,0,1,0,0
Diego Sanchez,Martin Kampmann,-197.2324829,-20,-2,-2,0,-2,-3,-1,-2,1,-3,-1,-1,2
BJ Penn,Jon Fitch,184.1043358,-16,-10,5,0,5,1,-6,7,-13,20,1,0,1
Jake Ellenberger,Carlos Eduardo Rocha,-535,-7,0,1,-1,-1,-1,-1,0,-1,1,4,0,2
DaMarques Johnson,Mike Guymon,-205.375,-2,-1,0,0,-1,-1,0,-1,1,-2,8,0,2
Charlie Brenneman,Amilcar Alves,171,-2,0,-1,1,-1,-1,0,-1,1,-2,-7,1,2
Nate Diaz,Dong Hyun Kim,228.3984375,-9,-1,-3,0,-3,-4,-2,-2,0,-2,4,0,0
Daniel Roberts,Greg Soto,503.25,1,0,0,0,-1,-1,0,-1,1,-2,-6,-1,2
Thiago Alves,John Howard,-362.7792969,-17,-1,4,-1,-3,-5,-3,-2,-1,-1,0,0,2
Georges St-Pierre,Josh Koscheck,-755.6838074,-8,-9,0,0,-2,-1,2,-3,5,-8,4,0,2
TJ Grant,Ricardo Almeida,-394.0742188,6,0,-1,1,2,2,2,0,2,-2,8,0,0
Johny Hendricks,Rick Story,93.1875,4,0,-4,1,0,0,1,-1,2,-3,-1,0,0
Karo Parisyan,Dennis Hallman,98.82617188,-15,1,0,0,-3,-6,0,-6,6,-12,6,0,0
Matt Brown,Brian Foster,-302.96875,-9,0,-1,1,-2,-2,-1,-1,0,-1,-3,0,0
Matt Hughes,BJ Penn,933.7984767,6,-1,1,0,-3,-7,2,-9,11,-20,-6,-2,0
Amir Sadollah,Peter Sobotta,99.3125,-5,-1,-1,2,-2,-3,0,-3,3,-6,-7,1,2
Duane Ludwig,Nick Osipczak,633.625,4,0,0,0,0,0,0,0,0,0,-7,0,2
Mike Guymon,Daniel Roberts,-73,0,0,0,0,0,0,0,0,0,0,-6,1,0
Diego Sanchez,Paulo Thiago,-265.9395752,-25,-2,-5,0,-4,-7,-2,-5,3,-8,1,-1,2
John Hathaway,Mike Pyle,-184.375,-1,0,-4,1,-3,-2,2,-4,6,-10,12,0,0
Dan Hardy,Carlos Condit,-251.5625,-6,-1,-4,1,-2,-2,0,-2,2,-4,-2,0,0
James Wilks,Claude Patrick,-302.25,-5,-1,0,0,0,-1,-1,0,-1,1,-2,0,0
Matt Serra,Chris Lytle,13.30929565,7,-2,0,1,1,1,3,-2,5,-7,0,0,0
TJ Grant,Julio Paulino,150.75,-7,0,-1,1,-1,-2,-1,-1,0,-1,8,0,2
Brian Foster,Forrest Petz,612.1875,11,0,1,-1,0,1,2,-1,3,-4,8,0,2
Nate Diaz,Marcus Davis,-25.15795898,4,-1,-5,1,1,2,1,1,0,1,12,0,2
Nick Osipczak,Greg Soto,-23.25,-4,0,-2,1,-2,-2,0,-2,2,-4,-1,0,0
Jon Fitch,Thiago Alves,160.1828613,-10,0,-8,1,-1,-3,2,-5,7,-12,-6,0,2
Matt Hughes,Ricardo Almeida,-124.1356058,-30,-12,-2,1,-3,-12,-2,-10,8,-18,-3,-2,2
Johny Hendricks,Charlie Brenneman,217.75,-4,0,-2,0,-2,-2,0,-2,2,-4,3,-1,2
Dustin Hazelett,Rick Story,590.7578125,-1,0,0,0,0,-2,-2,0,-2,2,1,1,0
Ben Saunders,Dennis Hallman,183.5625,1,1,-2,0,-2,-3,2,-5,7,-12,7,0,0
DaMarques Johnson,Matthew Riddle,280,10,-1,3,-1,1,2,0,2,-2,4,-4,1,0
John Howard,Jake Ellenberger,101.75,-5,0,-4,1,-3,-3,1,-4,5,-9,-2,0,0
Chris Lytle,Matt Brown,38.65338135,-24,-1,1,-2,1,-3,-7,4,-11,15,-6,0,2
Forrest Petz,Daniel Roberts,-741.375,-12,0,-1,1,-1,-2,-2,0,-2,2,-5,1,0
Paulo Thiago,Martin Kampmann,-257.0507813,5,0,3,0,2,4,1,3,-2,5,-1,0,0
Carlos Condit,Rory MacDonald,-633,-5,0,1,-1,0,0,-1,1,-2,3,-6,0,2
James Wilks,Peter Sobotta,379.5,-1,-1,-1,1,-1,-1,0,-1,1,-2,-9,1,2
Mike Pyle,Jesse Lennox,467.25,0,0,1,-1,0,0,-1,1,-2,3,-6,0,2
Diego Sanchez,John Hathaway,-358.5041504,-27,-2,-3,0,-3,-7,-3,-4,1,-5,-6,-1,0
Amir Sadollah,Dong Hyun Kim,164.25,4,-1,1,0,0,0,0,0,0,0,-1,1,0
Marcus Davis,Jonathan Goulet,-310.0981445,-10,0,1,-1,-4,-4,0,-4,4,-8,-6,-1,2
Josh Koscheck,Paul Daley,-253.5840454,-30,0,0,0,-3,-10,-4,-6,2,-8,-5,0,2
TJ Grant,Johny Hendricks,-134,-3,0,1,0,1,0,-1,1,-2,3,0,1,0
Yoshiyuki Yoshida,Mike Guymon,186.625,-3,0,-1,1,-1,-2,-1,-1,0,-1,0,-1,0
Nick Osipczak,Rick Story,240.75,4,0,-2,1,0,0,1,-1,2,-3,0,1,0
DaMarques Johnson,Brad Blackburn,575.125,9,-1,3,-1,2,2,0,2,-2,4,5,0,2
Ricardo Almeida,Matt Brown,-292.328125,-5,0,1,-1,1,0,-2,2,-4,6,-4,0,2
Nate Diaz,Rory Markham,-683.65625,-18,-1,-4,0,-4,-5,-2,-3,1,-4,4,-1,2
Georges St-Pierre,Dan Hardy,-516.3266602,-28,-8,2,0,-2,-9,-2,-7,5,-12,-1,0,2
Ben Saunders,Jon Fitch,599.6264648,25,1,5,0,5,7,0,7,-7,14,6,0,0
Chris Lytle,Brian Foster,-424.5682373,-32,-1,0,-1,-1,-5,-8,3,-11,14,-10,0,2
Matt Serra,Frank Trigg,-556.0717773,-24,-1,0,0,0,-4,-2,-2,0,-2,2,1,2
Paulo Thiago,Mike Swick,-35.0703125,15,0,4,0,4,7,1,6,-5,11,1,0,2
Rick Story,Jesse Lennox,182.5,-2,0,1,-1,0,0,-1,1,-2,3,2,-1,2
Amir Sadollah,Brad Blackburn,284.5,3,-1,2,0,2,1,-1,2,-3,5,3,0,2
Martin Kampmann,Jacob Volkmann,515.8515625,-10,0,-4,1,-4,-6,-1,-5,4,-9,2,1,2
Paul Daley,Dustin Hazelett,190.734375,10,0,-1,1,2,4,2,2,0,2,-3,0,2
Jake Ellenberger,Mike Pyle,-439.5,1,0,0,0,1,1,0,1,-1,2,10,0,2
Jon Fitch,Mike Pierce,-62.50292969,-28,-1,-7,0,-7,-9,-1,-8,7,-15,-2,0,2
DaMarques Johnson,Edgar Garcia,606,2,-1,0,0,0,0,0,0,0,0,-2,0,2
TJ Grant,Kevin Burns,-124.875,5,0,1,0,1,1,1,0,1,-1,4,0,2
John Howard,Dennis Hallman,-196.25,4,1,-1,0,-1,-1,3,-4,7,-11,8,0,2
Ben Saunders,Marcus Davis,337.4306641,14,0,-3,1,3,5,2,3,-1,4,10,1,2
Josh Koscheck,Anthony Johnson,13.89440918,-18,0,-1,0,-2,-6,-2,-4,2,-6,-6,0,2
Brian Foster,Brock Larson,255.125,9,0,0,0,3,3,1,2,-1,3,7,1,2
Amir Sadollah,Phil Baroni,655.578125,15,-1,0,0,1,2,4,-2,6,-8,4,0,2
Nick Osipczak,Matthew Riddle,680,8,0,2,0,2,2,0,2,-2,4,-1,1,2
John Hathaway,Paul Taylor,283.59375,12,0,-1,0,-1,1,3,-2,5,-7,7,0,2
Matt Brown,James Wilks,-18.75,-7,1,0,0,-1,-2,-1,-1,0,-1,3,0,2
Dan Hardy,Mike Swick,-207.890625,12,0,2,0,2,6,1,5,-4,9,3,0,2
Anthony Johnson,Yoshiyuki Yoshida,-297.375,-8,0,0,0,-1,-2,-1,-1,0,-1,10,1,2
Josh Koscheck,Frank Trigg,-75.14868164,-23,2,-2,1,-3,-8,-1,-7,6,-13,6,1,2
Mike Pyle,Chris Wilson,714,8,0,0,0,1,1,1,0,1,-1,-1,0,2
John Howard,Tamdan McCrory,-562.5625,6,0,0,0,0,2,2,0,2,-2,-4,2,2
Matthew Riddle,Dan Cramer,0,-3,0,-1,0,-1,-1,0,-1,1,-2,0,-1,2
Jon Fitch,Paulo Thiago,-816.0058594,-27,-1,-7,0,-7,-8,-1,-7,6,-13,-3,0,2
Georges St-Pierre,Thiago Alves,-473.2861328,-11,-7,-2,1,2,-3,0,-3,3,-6,-3,0,2
Dong Hyun Kim,TJ Grant,68.75,-6,0,-1,0,-1,-1,-1,0,-1,1,-2,-1,2
Chris Lytle,Kevin Burns,-172.8864746,-25,-1,2,-2,0,-3,-8,5,-13,18,-5,0,2
Dan Hardy,Marcus Davis,208.8613281,15,0,-2,1,4,6,2,4,-2,6,8,1,2
Mike Swick,Ben Saunders,-50.21875,-11,0,-2,0,-2,-5,-1,-4,3,-7,-3,0,2
Matt Hughes,Matt Serra,66.38238144,-14,-9,-2,1,-4,-9,0,-9,9,-18,-1,-2,2
Yoshiyuki Yoshida,Brandon Wolff,13.5,-1,0,-1,1,-1,-1,0,-1,1,-2,-2,-1,2
Matt Brown,Pete Sell,249.71875,8,0,0,0,0,0,3,-3,6,-9,-2,0,2
Dan Hardy,Rory Markham,-803,-2,0,0,0,0,0,0,0,0,0,0,0,2
Paul Kelly,Troy Mandaloniz,-408,-4,0,0,0,0,0,-1,1,-2,3,5,0,2
Anthony Johnson,Luigi Fioravanti,303.8671875,9,0,-1,1,1,1,2,-1,3,-4,4,0,2
Matthew Riddle,Steve Bruno,-188,2,0,-1,1,0,0,1,-1,2,-3,4,-1,2
Georges St-Pierre,BJ Penn,-300.4606934,3,0,1,0,-2,-2,2,-4,6,-10,3,0,2
Jon Fitch,Akihiro Gono,-450.5117188,-20,-1,-7,0,-7,-7,0,-7,7,-14,4,2,2
Karo Parisyan,Dong Hyun Kim,160.7773438,-22,0,1,0,-2,-6,-3,-3,0,-3,1,1,1
Marcus Davis,Chris Lytle,259.550293,14,1,0,1,-4,-2,6,-8,14,-22,-1,-1,2
Brad Blackburn,Ryo Chonan,451,4,0,-1,1,0,0,1,-1,2,-3,1,0,2
Anthony Johnson,Kevin Burns,190,-2,0,1,0,1,0,-2,2,-4,6,4,0,2
Steve Bruno,Johnny Rees,-639,-2,0,0,0,0,0,0,0,0,0,-1,0,2
Josh Koscheck,Yoshiyuki Yoshida,-772.3447266,-26,0,-1,0,-4,-8,-3,-5,2,-7,3,1,2
Luigi Fioravanti,Brodie Farber,-721.234375,-15,0,0,0,-2,-3,-3,0,-3,3,1,0,2
Mike Swick,Jonathan Goulet,-502.953125,-4,0,-4,0,-3,-3,2,-5,7,-12,0,0,2
Dustin Hazelett,Tamdan McCrory,236.28125,-3,0,1,-1,-2,-2,-1,-1,0,-1,0,2,2
Matt Brown,Ryan Thomas,-262,-3,0,-1,1,-1,-1,0,-1,1,-2,-3,0,2
Thiago Alves,Josh Koscheck,353.4550781,5,0,2,-1,-1,1,0,1,-1,2,5,0,2
Pete Sell,Joshua Burkman,67.5078125,9,0,1,0,1,4,0,4,-4,8,2,0,2
Chris Lytle,Paul Taylor,193.8291016,-17,-1,1,-2,-1,-2,-6,4,-10,14,-6,0,2
Marcus Davis,Paul Kelly,362.5546875,-11,0,1,-1,-5,-5,-2,-3,1,-4,-11,-1,2
Dong Hyun Kim,Matt Brown,-105,-1,0,0,0,0,0,0,0,0,0,1,-1,2
Ryo Chonan,Roan Carneiro,-348.375,6,0,1,-1,1,2,1,1,0,1,-1,0,2
Tamdan McCrory,Luke Cummo,185.375,11,1,-1,1,1,2,2,0,2,-2,7,-2,2
Georges St-Pierre,Jon Fitch,200.4101563,-4,-5,6,0,3,-2,-2,0,-2,2,3,0,2
Kevin Burns,Anthony Johnson,-380,2,0,0,0,0,1,1,0,1,-1,-4,0,2
Josh Koscheck,Chris Lytle,-328.2871094,3,1,-2,2,-3,-4,5,-9,14,-23,3,0,2
Dustin Hazelett,Joshua Burkman,578.953125,11,0,2,-1,-1,2,1,1,0,1,6,0,2
Diego Sanchez,Luigi Fioravanti,252.4023438,-7,-1,-6,1,-4,-4,1,-5,6,-11,1,-1,2
Mike Swick,Marcus Davis,-625.984375,-2,0,-5,1,1,0,0,0,0,0,6,1,2
Thiago Alves,Matt Hughes,195.4285965,23,12,2,-1,1,8,2,6,-4,10,10,2,2
Paul Taylor,Jess Liaudin,-558,-4,0,1,0,1,1,-1,2,-3,5,-28,0,2
Georges St-Pierre,Matt Serra,-64.56445313,4,-2,-2,1,-3,-3,2,-5,7,-12,7,0,2
Jonathan Goulet,Kuniyoshi Hironaka,454.03125,-2,0,-1,1,0,-2,-1,-1,0,-1,3,0,2
Thiago Alves,Karo Parisyan,314.5078125,11,0,1,-1,0,2,0,2,-2,4,1,0,2
Anthony Johnson,Tommy Speer,-128,-2,1,-1,1,-1,-1,0,-1,1,-2,-1,0,2
George Sotiropoulos,Roman Mitichyan,-73,0,0,0,0,0,0,0,0,0,0,-1,0,2
Josh Koscheck,Dustin Hazelett,-620.8828125,-13,0,-2,1,-2,-4,-1,-3,2,-5,-9,0,2
Luigi Fioravanti,Luke Cummo,-285.1875,2,1,0,0,0,1,-1,2,-3,5,0,0,2
Mike Swick,Joshua Burkman,162.03125,6,0,-3,0,-3,0,1,-1,2,-3,-1,0,2
Marcus Davis,Jess Liaudin,-120.28125,-8,0,2,-1,-3,-3,-1,-2,1,-3,-34,-1,2
Georges St-Pierre,Matt Hughes,51.34156799,18,8,0,0,1,7,1,6,-5,11,8,2,2
Roan Carneiro,Tony DeSouza,-289.0625,4,0,1,0,1,2,1,1,0,1,4,1,2
Thiago Alves,Chris Lytle,-55.5078125,8,1,0,1,-1,-2,4,-6,10,-16,9,0,2
Joshua Burkman,Forrest Petz,-2.8125,-3,0,-1,0,-1,-2,0,-2,2,-4,5,0,2
Rich Clementi,Anthony Johnson,-752.5,-9,0,1,-2,0,0,-3,3,-6,9,-8,-1,2
Jon Fitch,Diego Sanchez,182.171875,2,1,0,0,0,0,1,-1,2,-3,-4,1,2
Thiago Alves,Kuniyoshi Hironaka,384.25,-5,0,0,0,-1,-3,-1,-2,1,-3,8,0,2
Luke Cummo,Edilberto de Oliveira,-45.5,-8,-1,0,0,-1,-2,-1,-1,0,-1,-3,0,2
Dustin Hazelett,Jonathan Goulet,64.125,3,0,1,-1,-1,0,1,-1,2,-3,7,0,2
Marcus Davis,Paul Taylor,319.4375,-6,0,1,-1,-3,-3,-1,-2,1,-3,-7,-1,2
Jess Liaudin,Anthony Torres,76,0,0,0,0,0,0,0,0,0,0,29,0,2
Georges St-Pierre,Josh Koscheck,416.609375,-1,-3,0,0,0,0,-1,1,-2,3,3,0,2
Chris Lytle,Jason Gilliam,-719.734375,-19,-1,0,-1,-2,-2,-5,3,-8,11,-32,0,2
Jon Fitch,Roan Carneiro,266.8125,-9,0,-4,0,-4,-4,0,-4,4,-8,0,0,2
Forrest Petz,Luigi Fioravanti,-291.625,0,0,-1,1,1,1,0,1,-1,2,-5,0,2
Karo Parisyan,Joshua Burkman,-62.65625,-10,0,1,0,-2,-2,-1,-1,0,-1,3,0,2
Matt Serra,Georges St-Pierre,-361.5117188,-9,1,2,-1,3,2,-3,5,-8,13,-7,0,2
Josh Koscheck,Diego Sanchez,-206.5,0,1,4,0,2,0,-1,1,-2,3,-4,1,2
Marcus Davis,Pete Spratt,-357.875,1,0,1,-1,-1,1,1,0,1,-1,3,-1,2
Luke Cummo,Josh Haynes,-173,-4,0,0,1,-1,-1,0,-1,1,-2,3,0,2
Kuniyoshi Hironaka,Forrest Petz,-301,1,0,1,-1,1,1,0,1,-1,2,1,0,2
Drew Fickett,Keita Nakamura,205.65625,-9,0,0,0,-2,-3,-2,-1,-1,0,-5,1,2
Matt Hughes,Chris Lytle,255.879364,-18,-10,-2,2,-4,-12,2,-14,16,-30,-1,-2,2
Jon Fitch,Luigi Fioravanti,-350.625,-5,0,-4,1,-2,-2,1,-3,4,-7,-3,0,2
Rich Clementi,Ross Pointon,-625,-4,0,0,-1,0,0,-1,1,-2,3,-4,-1,2
Thiago Alves,Tony DeSouza,-342.625,-2,0,2,-1,0,0,-1,1,-2,3,9,1,2
Luigi Fioravanti,Dave Menne,70,10,2,2,-1,1,1,2,-1,3,-4,7,0,2
Diego Sanchez,Joe Riggs,-579.546875,-1,-1,-4,0,-4,-1,3,-4,7,-11,0,0,2
Marcus Davis,Shonie Carter,-6.125,7,0,3,-1,2,2,1,1,0,1,1,0,2
Karo Parisyan,Drew Fickett,-246.875,-8,0,-1,1,-2,-2,0,-2,2,-4,2,0,2
Georges St-Pierre,Matt Hughes,-122.446228,19,9,0,0,2,8,1,7,-6,13,8,2,2
Pete Spratt,Jeremy Jackson,524.25,-2,0,-1,1,-1,-2,-1,-1,0,-1,-11,0,2
Matt Serra,Chris Lytle,-333.7109375,-8,0,0,1,0,-2,0,-2,2,-4,0,0,2
Thiago Alves,John Alessio,228.5,-1,1,0,1,-2,-2,0,-2,2,-4,4,0,2
Marcus Davis,Forrest Petz,425,1,0,1,-1,1,1,-1,2,-3,5,-2,-1,2
Matt Hughes,BJ Penn,521.1776123,-8,-6,1,0,-3,-7,1,-8,9,-17,-5,-2,2
Nick Diaz,Josh Neer,-104.8984375,-11,0,-2,1,0,-2,-2,0,-2,2,0,-1,2
Joe Riggs,Jason Von Flue,420.46875,-4,0,0,0,0,-2,-2,0,-2,2,8,-1,2
Diego Sanchez,Karo Parisyan,-177,5,-1,-3,0,0,1,1,0,1,-1,-1,-1,2
Josh Koscheck,Jonathan Goulet,-16.375,-2,0,-1,0,-1,-2,0,-2,2,-4,-1,0,2
Joshua Burkman,Josh Neer,218.25,1,0,-2,1,0,0,0,0,0,0,-3,0,2
Jonathan Goulet,Luke Cummo,564.5,2,1,-1,1,0,0,0,0,0,0,0,0,2
Jon Fitch,Thiago Alves,-479.5,-1,0,-2,1,0,0,1,-1,2,-3,-6,0,2
Josh Koscheck,Dave Menne,26.75,5,2,0,0,0,-1,1,-2,3,-5,3,0,2
Diego Sanchez,John Alessio,-193.25,-4,0,-3,1,-3,-3,1,-4,5,-9,2,-1,2
Sean Sherk,Nick Diaz,12.109375,3,-1,-1,0,-1,1,1,0,1,-1,-10,1,2
Karo Parisyan,Nick Thompson,41.75,-10,0,0,0,-2,-3,-1,-2,1,-3,1,0,2
Luke Cummo,Jason Von Flue,-223,0,-1,1,-1,1,1,-1,2,-3,5,5,0,2
Josh Koscheck,Ansar Chalangov,-382.5,-4,0,-2,1,-2,-2,0,-2,2,-4,-2,0,2
Jon Fitch,Joshua Burkman,-856,-1,0,1,0,1,1,0,1,-1,2,-3,0,2
Josh Neer,Joe Stevenson,722.5,1,1,1,-1,0,0,-1,1,-2,3,0,0,2
Georges St-Pierre,BJ Penn,247.8203125,8,2,1,0,0,1,1,0,1,-1,3,0,2
Joe Riggs,Nick Diaz,302.96875,7,0,1,0,1,2,0,2,-2,4,-1,0,2
Josh Neer,Melvin Guillard,380,1,0,1,-1,1,1,-1,2,-3,5,0,0,2
Duane Ludwig,Jonathan Goulet,-235,0,0,0,0,0,0,0,0,0,0,-1,0,2
Spencer Fisher,Aaron Riley,317,1,0,-1,1,-1,-1,1,-2,3,-5,-4,0,2
Joshua Burkman,Drew Fickett,506.75,4,0,-1,1,1,1,1,0,1,-1,1,0,2
Georges St-Pierre,Sean Sherk,550.375,2,0,1,0,1,-1,0,-1,1,-2,8,0,2
Matt Hughes,Joe Riggs,12.81982422,-23,-9,-1,0,-5,-9,-1,-8,7,-15,-9,-1,2
Diego Sanchez,Nick Diaz,1.6875,7,-1,0,0,0,2,1,1,0,1,-1,0,2
Joe Riggs,Chris Lytle,349.375,9,0,-1,2,1,1,2,-1,3,-4,8,-1,2
Drew Fickett,Josh Koscheck,-0.5,0,0,2,-1,1,1,-1,2,-3,5,2,0,2
Georges St-Pierre,Frank Trigg,-358.625,-3,1,-2,1,0,-1,1,-2,3,-5,9,1,2
Kenny Florian,Alex Karalexis,-69,0,-1,1,-1,1,1,-1,2,-3,5,-2,-1,2
Josh Koscheck,Pete Spratt,25.5,3,0,0,0,0,1,1,0,1,-1,7,0,2
Nick Diaz,Koji Oishi,395.625,-6,0,-2,1,-2,-3,0,-3,3,-6,7,-1,2
