Fighter,total_time_fought(seconds),total_rounds_fought,total_title_bouts,current_win_streak,current_lose_streak,longest_win_streak,wins,losses,Height,Reach,Weight_lbs,age,Stance
Michael Chiesa,0.47,30,1,2,0,3,10,4,"6' 1""","75""",170 lbs.,33,Ortodox
Michel Pereira,0.46,10,0,1,0,1,2,2,"6' 1""","73""",170 lbs.,27,Southpaw
Mickey Gall,0.48,13,0,3,0,3,5,2,"6' 2""","74""",170 lbs.,28,Switch
Miguel Baeza,0.18,4,0,2,0,2,2,0,"6' 2""","74""",170 lbs.,28,Southpaw
Mike Perry,0.23,27,0,2,0,2,6,6,"5' 10""","71""",170 lbs.,28,Southpaw
Mounir Lazzez,0.65,3,0,1,0,1,1,0,"6' 1""","76""",170 lbs.,33,Ortodox
Muslim Salikhov,0.46,8,0,0,1,3,3,1,"5' 11""","70""",170 lbs.,36,Ortodox
Nate Diaz,0.72,60,2,5,0,5,15,9,"6' 0""","76""",170 lbs.,34,Ortodox
Neil Magny,0.64,61,0,1,0,7,17,6,"6' 3""","80""",170 lbs.,33,Ortodox
Nicolas Dalby,0.38,16,0,1,0,1,2,4,"5' 11""","74""",170 lbs.,36,Ortodox
Niko Price,0.37,18,0,1,0,2,6,5,"6' 0""","76""",170 lbs.,30,Ortodox
Nordine Taleb,0.39,26,0,3,0,3,7,4,"6' 1""","74""",170 lbs.,38,Ortodox
Peter Sobotta,0.51,22,0,0,3,2,4,5,"6' 0""","75""",170 lbs.,33,Ortodox
Rafael Dos Anjos,0.94,83,4,0,2,5,18,10,"5' 8""","70""",155 lbs.,35,Ortodox
Ramazan Emeev,0.65,15,0,3,0,3,4,1,"5' 10""","76""",170 lbs.,33,Ortodox
Randy Brown,0.38,23,0,1,0,2,6,3,"6' 3""","78""",170 lbs.,30,Ortodox
Rhys McKee,0.12,1,0,0,1,0,0,1,"6' 2""","78""",170 lbs.,25,Ortodox
Robbie Lawler,0.72,63,5,3,0,5,13,8,"5' 11""","74""",170 lbs.,38,Ortodox
Rostem Akman,0.65,3,0,0,1,0,0,1,"5' 10""","72""",170 lbs.,27,Ortodox
Rustam Khabilov,0.57,33,0,3,0,6,9,3,"5' 8""","73""",155 lbs.,33,Ortodox
Salim Touahri,0.65,6,0,0,2,0,0,2,"5' 10""","72""",170 lbs.,29,Ortodox
Santiago Ponzinibbio,0.54,25,0,0,1,7,9,2,"6' 0""","73""",170 lbs.,34,Ortodox
Sean Brady,0.38,8,0,3,0,3,3,0,"5' 10""","72""",170 lbs.,28,Ortodox
Sergey Khandozhko,0.65,3,0,1,0,1,1,0,"6' 1""","74""",170 lbs.,27,Ortodox
Sergio Moraes,0.50,34,1,0,1,4,8,5,"6' 0""","72""",170 lbs.,37,Ortodox
Siyar Bahadurzada,0.43,17,0,1,0,3,4,3,"5' 11""","73""",170 lbs.,35,Ortodox
Song Kenan,0.22,10,0,2,0,2,4,1,"6' 0""","71""",170 lbs.,31,Switch
Stephen Thompson,0.59,43,2,1,0,7,10,5,"6' 0""","75""",170 lbs.,37,Ortodox
Sultan Aliev,0.31,6,0,0,1,1,1,2,"5' 11""","74""",170 lbs.,34,Ortodox
Takashi Sato,0.20,6,0,1,0,1,2,1,"5' 10""","73""",170 lbs.,30,Ortodox
Thiago Alves,0.55,64,1,0,1,7,15,11,"5' 9""","70""",170 lbs.,36,Ortodox
Tim Means,0.46,48,0,2,0,4,12,10,"6' 2""","75""",170 lbs.,36,Ortodox
Tyron Woodley,1.00,42,6,1,0,3,9,5,"5' 9""","74""",170 lbs.,38,Ortodox
Vicente Luque,0.49,28,0,0,1,6,11,3,"5' 11""","75""",170 lbs.,28,Ortodox
Warlley Alves,0.30,27,1,4,0,4,7,4,"5' 11""","72""",170 lbs.,30,Ortodox
Zak Ottow,0.47,16,0,1,0,1,4,3,"5' 11""","72""",170 lbs.,32,Ortodox
Zelim Imadaev,0.54,5,0,0,2,0,0,2,"6' 0""","76""",170 lbs.,25,Ortodox
