,R_fighter,B_fighter,date,B_total_time_fought(seconds),B_total_rounds_fought,B_total_title_bouts,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_total_time_fought(seconds),R_total_rounds_fought,R_total_title_bouts,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,R_Stance_nan,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,B_Stance_nan,Winner_Blue,Winner_Draw,Winner_Red
280,Bryan Barberena,Anthony Ivy,2020-09-12,59.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,187.96,187.96,185.0,717.8828125,25,0,1,0,2,5,5,0,0,0,1,3,1,0,182.88,182.88,170.0,30.0,31.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
284,Michel Pereira,Zelim Imadaev,2020-09-05,747.0,5,0,0,2,0,0,2,0,0,0,0,0,0,0,182.88,193.04,170.0,646.25,7,0,1,0,1,1,2,0,0,0,0,1,0,0,185.42,185.42,170.0,25.0,26.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
292,Robbie Lawler,Neil Magny,2020-08-29,867.0260300636293,58,0,1,0,7,16,6,0,0,1,9,5,1,0,190.5,203.2,170.0,1091.7392702102659,63,5,3,0,5,13,8,0,0,3,4,6,0,0,180.34,187.96,170.0,33.0,38.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
296,Sean Brady,Christian Aguilera,2020-08-29,59.0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,175.26,182.88,170.0,900.0,6,0,2,0,2,2,0,0,0,0,2,0,0,0,177.8,182.88,170.0,28.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
301,Daniel Rodriguez,Dwight Grant,2020-08-22,749.75,7,0,0,1,2,2,1,0,0,1,0,1,0,0,185.42,193.04,170.0,708.5,5,0,2,0,2,2,0,0,0,0,1,0,1,0,185.42,187.96,170.0,35.0,33.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
319,Tim Means,Laureano Staropoli,2020-08-08,900.0,9,0,2,0,2,2,1,0,0,0,2,0,0,0,185.42,180.34,170.0,391.4024639129639,45,0,2,0,4,11,10,0,0,1,3,5,2,0,187.96,190.5,170.0,27.0,36.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
335,Vicente Luque,Randy Brown,2020-08-01,531.12109375,23,0,1,0,2,6,3,0,0,0,2,2,2,0,190.5,198.12,170.0,798.3233642578125,28,0,0,1,6,11,3,0,0,1,0,6,3,1,180.34,190.5,170.0,30.0,28.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
339,Alex Oliveira,Peter Sobotta,2020-07-25,715.46875,22,0,0,3,2,4,5,0,0,0,2,1,1,0,182.88,190.5,170.0,840.3583526611328,39,0,0,1,3,10,7,0,0,1,2,4,3,0,180.34,193.04,170.0,33.0,32.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
348,Nicolas Dalby,Jesse Ronson,2020-07-25,900.0,9,0,0,3,0,0,3,0,0,0,0,0,0,0,177.8,177.8,170.0,900.0,15,0,1,0,1,2,3,0,0,1,1,0,0,0,180.34,187.96,170.0,34.0,35.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
380,Elizeu Zaleski dos Santos,Muslim Salikhov,2020-07-11,648.25,8,0,0,1,3,3,1,0,0,0,1,2,0,0,180.34,177.8,170.0,750.646484375,25,0,0,1,7,8,2,0,0,1,3,3,1,0,180.34,185.42,170.0,36.0,33.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
